,Title,Rating,Genres,Studio,Sources,Status,Type,Synopsis,Episodes,Date,Duration,Img_Url
10,"3-gatsu no Lion 2nd Season
March Comes In Like A Lion 2nd Season",8.98," Drama, Game, Seinen, Slice of Life", Shaft, Manga, Finished Airing, TV,"Now in his second year of high school, Rei Kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life. Surrounded by vibrant personalities at the shogi hall, the school club, and in the local community, his solitary shell slowly begins to crack. Among them are the three Kawamoto sisters—Akari, Hinata, and Momo—who forge an affectionate and familial bond with Rei. Through these ties, he realizes that everyone is burdened by their own emotional hardships and begins learning how to rely on others while supporting them in return.Nonetheless, the life of a professional is not easy. Between tournaments, championships, and title matches, the pressure mounts as Rei advances through the ranks and encounters incredibly skilled opponents. As he manages his relationships with those who have grown close to him, the shogi player continues to search for the reason he plays the game that defines his career.[Written by MAL Rewrite]", 22," Oct 14, 2017 to Mar 31, 2018", 25 min. per ep.,https://cdn.myanimelist.net/images/anime/3/88469.jpg
11,"Gintama.
Gintama Season 5",8.98," Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen", Bandai Namco Pictures, Manga, Finished Airing, TV,"After joining the resistance against the bakufu, Gintoki and the gang are in hiding, along with Katsura and his Joui rebels. The Yorozuya is soon approached by Nobume Imai and two members of the Kiheitai, who explain that the Harusame pirates have turned against 7th Division Captain Kamui and their former ally Takasugi. The Kiheitai present Gintoki with a job: find Takasugi, who has been missing since his ship was ambushed in a Harusame raid. Nobume also makes a stunning revelation regarding the Tendoushuu, a secret organization pulling the strings of numerous factions, and their leader Utsuro, the shadowy figure with an uncanny resemblance to Gintoki's former teacher.Hitching a ride on Sakamoto's space ship, the Yorozuya and Katsura set out for Rakuyou, Kagura's home planet, where the various factions have gathered and tensions are brewing. Long-held grudges, political infighting, and the Tendoushuu's sinister overarching plan finally culminate into a massive, decisive battle on Rakuyou.[Written by MAL Rewrite]", 12," Jan 9, 2017 to Mar 27, 2017", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/3/83528.jpg
12,"Koe no Katachi
A Silent Voice",8.98," Drama, School, Shounen", Kyoto Animation, Manga, Finished Airing, Movie,"As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.[Written by MAL Rewrite]", 1," Sep 17, 2016", 2 hr. 10 min.,https://cdn.myanimelist.net/images/anime/1122/96435.jpg
13,"Shingeki no Kyojin: The Final Season
Attack on Titan Final Season",8.96," Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen", MAPPA, Manga, Finished Airing, TV,"Gabii Braun and Falco Grice have been training their entire lives to inherit one of the seven titans under Marley's control and aid their nation in eradicating the Eldians on Paradis. However, just as all seems well for the two cadets, their peace is suddenly shaken by the arrival of Eren Yeager and the remaining members of the Survey Corps.Having finally reached the Yeager family basement and learned about the dark history surrounding the titans, the Survey Corps has at long last found the answer they so desperately fought to uncover. With the truth now in their hands, the group set out for the world beyond the walls.In Shingeki no Kyojin: The Final Season, two utterly different worlds collide as each party pursues its own agenda in the long-awaited conclusion to Paradis' fight for freedom.[Written by MAL Rewrite]", 16," Dec 7, 2020 to Mar 29, 2021", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/1000/110531.jpg
14,"Clannad: After Story
Clannad ~After Story~",8.95," Slice of Life, Comedy, Supernatural, Drama, Romance", Kyoto Animation, Visual novel, Finished Airing, TV,"Clannad: After Story, the sequel to the critically acclaimed slice-of-life series Clannad, begins after Tomoya Okazaki and Nagisa Furukawa graduate from high school. Together, they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future, Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose, they push forward to confront their personal problems, deepen their old relationships, and create new bonds.Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter, the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose.Based on the visual novel by Key and produced by Kyoto Animation, Clannad: After Story is an impactful drama highlighting the importance of family and the struggles of adulthood.[Written by MAL Rewrite]", 24," Oct 3, 2008 to Mar 27, 2009", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/1299/110774.jpg
15,Gintama,8.95," Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen", Sunrise, Manga, Finished Airing, TV,"The Amanto, aliens from outer space, have invaded Earth and taken over feudal Japan. As a result, a prohibition on swords has been established, and the samurai of Japan are treated with disregard as a consequence.However one man, Gintoki Sakata, still possesses the heart of the samurai, although from his love of sweets and work as a yorozuya, one might not expect it. Accompanying him in his jack-of-all-trades line of work are Shinpachi Shimura, a boy with glasses and a strong heart, Kagura with her umbrella and seemingly bottomless stomach, as well as Sadaharu, their oversized pet dog. Of course, these odd jobs are not always simple, as they frequently have run-ins with the police, ragtag rebels, and assassins, oftentimes leading to humorous but unfortunate consequences.Who said life as an errand boy was easy?[Written by MAL Rewrite]", 201," Apr 4, 2006 to Mar 25, 2010", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/10/73274.jpg
16,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.94," Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen", Sunrise, Manga, Finished Airing, Movie,"When Gintoki apprehends a movie pirate at a premiere, he checks the camera's footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world's population. It turns out that the movie pirate wasn't a pirate after all—it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years, disappearing without a trace after scribbling a strange message in his journal.Setting out in the disguise given to him by the android time machine, Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague, and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe, he makes an important discovery—with a ragtag band of friends and allies at his side, he doesn't have to fight alone.[Written by MAL Rewrite]", 1," Jul 6, 2013", 1 hr. 50 min.,https://cdn.myanimelist.net/images/anime/10/51723.jpg
17,"Code Geass: Hangyaku no Lelouch R2
Code Geass: Lelouch of the Rebellion R2",8.91," Action, Military, Sci-Fi, Super Power, Drama, Mecha", Sunrise, Original, Finished Airing, TV,"One year has passed since the Black Rebellion, a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero, who is now missing. At a loss without their revolutionary leader, Area 11's resistance group—the Black Knights—find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia, which has increased significantly in order to crush any hope of a future revolt.Lelouch Lamperouge, having lost all memory of his double life, is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C., unable to accept this turn of events, takes it upon herself to remind him of his past purpose, hoping that the mastermind Zero will rise once again to finish what he started, in this thrilling conclusion to the series.[Written by MAL Rewrite]", 25," Apr 6, 2008 to Sep 28, 2008", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/4/9391.jpg
18,"Kimi no Na wa.
Your Name.",8.91," Romance, Supernatural, School, Drama", CoMix Wave Films, Original, Finished Airing, Movie,"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.[Written by MAL Rewrite]", 1," Aug 26, 2016", 1 hr. 46 min.,https://cdn.myanimelist.net/images/anime/5/87048.jpg
19,"Owarimonogatari 2nd Season
Owarimonogatari Second Season",8.91," Mystery, Comedy, Supernatural, Vampire", Shaft, Light novel, Finished Airing, TV,"Following an encounter with oddity specialist Izuko Gaen, third-year high school student Koyomi Araragi wakes up in a strange, deserted void only to be greeted by a joyfully familiar face in an alarmingly unfamiliar place.Araragi, with the help of his girlfriend Hitagi Senjougahara, maneuvers through the webs of his past and the perplexities of the present in search of answers. However, fate once again delivers him to the eccentric transfer student Ougi Oshino, who brings forth an unexpected proposal that may unearth the very foundation to which he is anchored. As Araragi peels back the layers of mystery surrounding an apparition, he discovers a truth not meant to be revealed.[Written by MAL Rewrite]", 7," Aug 12, 2017 to Aug 13, 2017", 22 min. per ep.,https://cdn.myanimelist.net/images/anime/6/87322.jpg
20,"Shiguang Dailiren
Link Click",8.89," Super Power, Drama, Fantasy", Haoliners Animation League, Original, Finished Airing, ONA,"Using superpowers to enter their clientele's photos one by one, Cheng Xiaoshi and Lu Guang take their work seriously at ""Time Photo Studio,"" a small photography shop set in the backdrop of a modern metropolis. Each job can be full of danger, but nothing is more important than fulfilling every order, no matter the scale…or peril involved!(Source: Funimation)", 11," Apr 30, 2021 to Jul 9, 2021", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/1135/114867.jpg
21,"Gintama.: Shirogane no Tamashii-hen - Kouhan-sen
Gintama.: Silver Soul Arc - Second Half War",8.88," Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen", Bandai Namco Pictures, Manga, Finished Airing, TV,Second Season of the final arc of Gintama., 14," Jul 9, 2018 to Oct 8, 2018", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/1776/96566.jpg
22,Violet Evergarden Movie,8.86," Slice of Life, Drama, Fantasy", Kyoto Animation, Light novel, Finished Airing, Movie,"Several years have passed since the end of The Great War. As the radio tower in Leidenschaftlich continues to be built, telephones will soon become more relevant, leading to a decline in demand for ""Auto Memory Dolls."" Even so, Violet Evergarden continues to rise in fame after her constant success with writing letters. However, sometimes the one thing you long for is the one thing that does not appear.Violet Evergarden Movie follows Violet as she continues to comprehend the concept of emotion and the meaning of love. At the same time, she pursues a glimmer of hope that the man who once told her, ""I love you,"" may still be alive even after the many years that have passed.[Written by MAL Rewrite]", 1," Sep 18, 2020", 2 hr. 20 min.,https://cdn.myanimelist.net/images/anime/1825/110716.jpg
23,"Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
Haikyu!! 3rd Season",8.82," Comedy, Sports, Drama, School, Shounen", Production I.G, Manga, Finished Airing, TV,"After the victory against Aoba Jousai High, Karasuno High School, once called “a fallen powerhouse, a crow that can’t fly,” has finally reached the climax of the heated Spring tournament. Now, to advance to nationals, the Karasuno team has to defeat the powerhouse Shiratorizawa Academy. Karasuno’s greatest hurdle is their adversary’s ace, Wakatoshi Ushijima, the number one player in the Miyagi Prefecture, and one of the country’s top three aces.Only the strongest team will make it to the national tournament. Since this match is the third-year players’ last chance to qualify for nationals, Karasuno has to use everything they learned during the training camp and prior matches to attain victory. Filled with restlessness and excitement, both teams are determined to come out on top in the third season of Haikyuu!!.[Written by MAL Rewrite]", 10," Oct 8, 2016 to Dec 10, 2016", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/7/81992.jpg
24,Mob Psycho 100 II,8.82," Action, Slice of Life, Comedy, Supernatural", Bones, Web manga, Finished Airing, TV,"Shigeo ""Mob"" Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients, whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens.While the workflow remains the same, Mob isn't just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic, Mob's supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before.[Written by MAL Rewrite]", 13," Jan 7, 2019 to Apr 1, 2019", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/1918/96303.jpg
25,"Gintama.: Shirogane no Tamashii-hen
Gintama.: Silver Soul Arc",8.81," Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen", Bandai Namco Pictures, Manga, Finished Airing, TV,"After the fierce battle on Rakuyou, the untold past and true goal of the immortal Naraku leader, Utsuro, are finally revealed. By corrupting the Altana reserves of several planets, Utsuro has successfully triggered the intervention of the Tendoshuu’s greatest enemy: the Altana Liberation Army. With Earth as the main battleground in this interplanetary war, Utsuro's master plan to destroy the planet—and himself—is nearly complete.An attack on the O-Edo Central Terminal marks the beginning of the final battle to take back the land of the samurai. With the Yorozuya nowhere in sight, the bakufu all but collapsed, and the Shogun missing, the people are left completely helpless as the Liberation Army begins pillaging Edo in the name of freeing them from the Tendoshuu's rule.Caught in the crossfire between two equally imposing forces, can Gintoki, Kagura, Shinpachi, and the former students of Shouyou Yoshida put aside their differences and unite their allies to protect what they hold dear?[Written by MAL Rewrite]", 12," Jan 8, 2018 to Mar 26, 2018", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/12/89603.jpg
26,Kizumonogatari III: Reiketsu-hen,8.81," Action, Mystery, Supernatural, Vampire", Shaft, Light novel, Finished Airing, Movie,"After helping revive the legendary vampire Kiss-shot Acerola-orion Heart-under-blade, Koyomi Araragi has become a vampire himself and her servant. Kiss-shot is certain she can turn him back into a human, but only once regaining her full power.Araragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However, now that Araragi has almost accomplished what he’s been fighting for this whole time, he has to consider if this is what he really wants. Once he revives this powerful immortal vampire, there is no telling what she might do, and there would be no way of stopping her.But there is more to the story that Araragi doesn’t understand. If a newborn vampire like him could defeat the hunters, how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place?Araragi is at his limit but he must come to a decision, and it may not be possible to resolve this situation without doing something he’ll regret…[Written by MAL Rewrite]", 1," Jan 6, 2017", 1 hr. 23 min.,https://cdn.myanimelist.net/images/anime/8/82911.jpg
27,Odd Taxi,8.80, Mystery," OLM, P.I.C.S.", Original, Finished Airing, TV,"Eccentric and blunt, the walrus Hiroshi Odokawa lives a relatively normal life. He drives a taxi for a living, and there he meets several unique individuals: the jobless Taichi Kabasawa who is dead-set on going viral, the mysterious nurse Miho Shirakawa, the struggling comedic duo ""Homo Sapiens,"" and Dobu, a well-known delinquent.But Odokawa's simple way of life is about to be turned upside-down. The case of a missing girl the police have been tracking leads back to him, and now both the yakuza and a duo of corrupt cops are on his tail. Set in a strangely familiar city filled with unusual individuals, Odd Taxi is a bizarre story about a humble taxi driver and the mystery of a lost high schooler.[Written by MAL Rewrite]", 13," Apr 6, 2021 to Jun 29, 2021", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/1981/113348.jpg
28,"Sen to Chihiro no Kamikakushi
Spirited Away",8.80," Adventure, Supernatural, Drama","Licensors: Walt Disney Studios, GKIDS", Original, Finished Airing, Movie,"Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.[Written by MAL Rewrite]", 1," Jul 20, 2001", 2 hr. 4 min.,https://cdn.myanimelist.net/images/anime/6/79597.jpg
29,Monster,8.79," Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller", Madhouse, Manga, Finished Airing, TV,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience.So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director.Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved.[Written by MAL Rewrite]", 74," Apr 7, 2004 to Sep 28, 2005", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/10/18793.jpg
30,Monogatari Series: Second Season,8.78," Mystery, Comedy, Supernatural, Romance, Vampire", Shaft, Light novel, Finished Airing, TV,"Apparitions, oddities, and gods continue to manifest around Koyomi Araragi and his close-knit group of friends: Tsubasa Hanekawa, the group's modest genius; Shinobu Oshino, the resident doughnut-loving vampire; athletic deviant Suruga Kanbaru; bite-happy spirit Mayoi Hachikuji; Koyomi's cutesy stalker Nadeko Sengoku; and Hitagi Senjogahara, the poignant tsundere.Monogatari Series: Second Season revolves around these individuals and their struggle to overcome the darkness that is rapidly approaching. A new semester has begun and with graduation looming over Araragi, he must quickly decide the paths he will walk, as well as the relationships and friends that he'll save. But as strange events begin to unfold, Araragi is nowhere to be found, and a vicious tiger apparition has appeared in his absence. Hanekawa has become its target, and she must fend for herself—or bow to the creature's perspective on the feebleness of humanity.[Written by MAL Rewrite]", 26," Jul 7, 2013 to Dec 29, 2013", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/3/52133.jpg
