,Title,Rating,Genres,Volumes,Chapters,Status,Authors,Type,Synopsis,Published,Img_Url
10,Monogatari Series: First Season,8.96," Action, Comedy, Mystery, Romance, Vampire, Supernatural", 6, 107, Finished," NISIO, ISIN (Story), VOFAN (Art)", Light Novel,"This is a story, a ""ghostory"" of sorts, about scars that bond, monsters that haunt, and fakes that deceive.The story of Koyomi Araragi begins through a fateful encounter with the all-powerful, blonde-haired, ""hot-blooded, iron-blooded and cold-blooded"" vampire, later introduced as Shinobu Oshino. Their tragic rendezvous results in the end of Araragi's life as a human and his subsequent rebirth as a vampire—a monster. However, this encounter is only the start of his meddlings with the supernatural. Koyomi's noble personality ultimately sees him getting further involved in the lives of others with supernatural afflictions. This is his desperate attempt at returning to a normal human life, in a paranormal world filled with nothing but tragedy, suffering, and inhumanity.[Written by MAL Rewrite]This entry includes the first season of the Monogatari Series."," Nov 1, 2006 to Jul 28, 2010",https://cdn.myanimelist.net/images/manga/5/173535.jpg
11,Vinland Saga,8.95," Action, Adventure, Drama, Historical, Seinen", , , Publishing," Yukimura, Makoto (Story & Art)", Manga,"Thorfinn, son of one of the Vikings' greatest warriors, is among the finest fighters in the merry band of mercenaries run by the cunning Askeladd, an impressive feat for a person his age. However, Thorfinn is not part of the group for the plunder it entails—instead, for having caused his family great tragedy, the boy has vowed to kill Askeladd in a fair duel. Not yet skilled enough to defeat him, but unable to abandon his vengeance, Thorfinn spends his boyhood with the mercenary crew, honing his skills on the battlefield among the war-loving Danes, where killing is just another pleasure of life.One day, when Askeladd receives word that Danish prince Canute has been taken hostage, he hatches an ambitious plot—one that will decide the next King of England and drastically alter the lives of Thorfinn, Canute, and himself. Set in 11th century Europe, Vinland Saga tells a bloody epic in an era where violence, madness, and injustice are inescapable, providing a paradise for the battle-crazed and utter hell for the rest who live in it.[Written by MAL Rewrite]"," Apr 13, 2005 to ?",https://cdn.myanimelist.net/images/manga/2/188925.jpg
12,20th Century Boys,8.94," Mystery, Drama, Historical, Sci-Fi, Psychological, Seinen", 22, 249, Finished," Urasawa, Naoki (Story & Art)", Manga,"As the 20th century approaches its end, people all over the world are anxious that the world is changing. And probably not for the better.Kenji Endo is a normal convenience store manager who's just trying to get by. But when he learns that one of his old friends going by the name ""Donkey"" has suddenly committed suicide, and that a new cult led by a figure known as ""Friend"" is becoming more notorious, Kenji starts to feel that something isn't right. With a few key clues left behind by his deceased friend, Kenji realizes that this cult is much more than he ever thought it would be—not only is this mysterious organization directly targeting him and his childhood friends, but the whole world also faces a grave danger that only the friends have the key to stop.Kenji's simple life of barely making ends meet is flipped upside down when he reunites with his childhood friends, and together they must figure out the truth of how their past is connected to the cult, as the turn of the century could mean the possible end of the world.[Written by MAL Rewrite]"," Sep 27, 1999 to Apr 24, 2006",https://cdn.myanimelist.net/images/manga/1/54437.jpg
13,"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
Kaguya-sama: Love is War",8.94," Comedy, Romance, School, Seinen", , , Publishing," Akasaka, Aka (Story & Art)", Manga,"Considered a genius due to having the highest grades in the country, Miyuki Shirogane leads the prestigious Shuchiin Academy's student council as its president, working alongside the beautiful and wealthy vice president Kaguya Shinomiya. The two are often regarded as the perfect couple by students despite them not being in any sort of romantic relationship.However, the truth is that after spending so much time together, the two have developed feelings for one another; unfortunately, neither is willing to confess, as doing so would be a sign of weakness. With their pride as elite students on the line, Miyuki and Kaguya embark on a quest to do whatever is necessary to get a confession out of the other. Through their daily antics, the battle of love begins![Written by MAL Rewrite]"," May 19, 2015 to ?",https://cdn.myanimelist.net/images/manga/3/188896.jpg
14,Ashita no Joe,8.92," Drama, Shounen, Sports, Slice of Life", 20, 171, Finished," Kajiwara, Ikki (Story), Chiba, Tetsuya (Art)", Manga,"Joe Yabuki is a troubled young man who runs away from an orphanage. Wandering through the Tokyo slums, he meets former boxing trainer Danpei. Joe is later arrested and goes to a temporary jail where he fights Nishi, his future best friend and leader of a group of hooligans. He and Nishi then go to a juvenile prison miles away from Tokyo. There Joe meets Rikiishi, a former boxing prodigy, and a rivalry develops between them. They face each other in a match in which Rikiishi dominates Joe until the latter hits him with a cross-counter, resulting in both being knocked out. This inspires the other prison inmates to take up boxing. Joe and Rikiishi vow to fight again.(Source: Wikipedia)"," Jan 1, 1968 to May 13, 1973",https://cdn.myanimelist.net/images/manga/4/75029.jpg
15,Monogatari Series: Second Season,8.90," Comedy, Mystery, Drama, Vampire, Supernatural", 6, 199, Finished," NISIO, ISIN (Story), VOFAN (Art)", Light Novel,"This is a story. A story about choices and consequences, confessions resulting in love and rejection, and decisions leading to sacrifice and tragedy.Koyomi Araragi's decision to save a blonde vampire and meddle with the supernatural resulted in his death as a human and rebirth as a monster. But this was only one of the countless tragedies and choices that Koyomi would be faced with, and he is confronted with the fact that his seemingly unshakeable and hard-earned relationships do not last. As strange oddities continue to manifest in the world around him, he is faced with impossible choices—to sever his ties with those he loves, or eternally remain a part of the world of monsters and apparitions and watch the world crumble as a result. To accept or reject a confession, and sacrifice his all for the sake of others. However, both of these paths could lead to tragedy and farewells.This is a story. A story about Koyomi Araragi coming to realize the consequences of his choices.[Written by MAL Rewrite]This entry includes the second season of the Monogatari Series."," Oct 27, 2010 to Dec 20, 2011",https://cdn.myanimelist.net/images/manga/2/181553.jpg
16,"Haikyuu!!
Haikyu!!",8.90," Comedy, Drama, School, Shounen, Sports", 45, 407, Finished," Furudate, Haruichi (Story & Art)", Manga,"The whistle blows. The ball is up. A dig. A set. A spike.Volleyball. A sport where two teams face off, separated by a formidable, wall-like net.The ""Little Giant,"" standing at only 170 cm, overcomes the towering net and the wall of blockers. The awe-inspired Shouyou Hinata looks on at the ace's crow-like figure. Determined to reach great heights like the Little Giant, small-statured Hinata finally manages to form a team in his last year of junior high school, and enters his first volleyball tournament. However, his team is utterly defeated in their first game against the powerhouse school Kitagawa Daiichi, led by the genius, but oppressive setter dubbed the ""King of the Court,"" Tobio Kageyama.Hinata enrolls into Karasuno High School seeking to take revenge against Kageyama in an official high school match and to follow in the Little Giant's footsteps—but his plans are ruined when he opens the gymnasium door to find Kageyama as one of his teammates.Now, Hinata must establish himself on the team and work alongside the problematic Kageyama to overcome his shortcomings and to fulfill his dream of making it to the top of the high school volleyball world.[Written by MAL Rewrite]Included one-shot:
Volume 14: Nisekyuu!!"," Feb 20, 2012 to Jul 20, 2020",https://cdn.myanimelist.net/images/manga/4/89519.jpg
17,"GTO
GTO: Great Teacher Onizuka",8.89," Action, Comedy, Drama, Ecchi, School, Shounen", 25, 208, Finished," Fujisawa, Tohru (Story & Art)", Manga,"22-year-old Eikichi Onizuka: pervert, former gang member... and teacher?Great Teacher Onizuka follows the incredible, though often ridiculous, antics of the titular teacher as he attempts to outwit and win over the cunning Class 3-4 that is determined to have him removed from the school. However, other obstacles present themselves throughout—including the frustrated, balding vice principal, Hiroshi Uchiyamada; old enemies from his biker days; and his own idiotic teaching methods. But Eikichi fights it all whilst trying to help his students, romance fellow teacher Azusa Fuyutsuki, and earn his self-proclaimed title.[Written by MAL Rewrite]Also contains the gaiden ""GTO: Great Toroko Oppai♡"" (Tomoko's Big Adventures)."," Dec 11, 1996 to Jan 30, 2002",https://cdn.myanimelist.net/images/manga/2/172982.jpg
18,"3-gatsu no Lion
March Comes in Like a Lion",8.89," Drama, Game, Slice of Life, Seinen", , , Publishing," Umino, Chika (Story & Art)", Manga,"Rei Kiriyama is an extraordinary shogi player. Among the few elites to have gone professional as a middle school student, he is considered a genius. But what lies behind his prodigious facade is a teenage boy who suffers immense pressure from both his family, and from the high expectations from the shogi community. Rei moves out to live a more independent life away from his family, but his unorganized lifestyle and unsociable personality show no signs of improvement.However, in a twist of fate that will prove to be a turning point in his life, Rei then encounters the Kawamoto sisters—the motherly Akari, the passionate Hinata, and the energetic Momo—who take great care of him. 3-gatsu no Lion tells the story of Rei as he reshapes his melancholic life and picks up the courage to begin facing the problems he evaded during his past.[Written by MAL Rewrite]"," Jul 13, 2007 to ?",https://cdn.myanimelist.net/images/manga/1/52281.jpg
19,"Houseki no Kuni
Land of the Lustrous",8.88," Action, Drama, Fantasy, Seinen", , , Publishing," Ichikawa, Haruko (Story & Art)", Manga,"Long ago, Earth was struck by six meteorites, creating six moons and leaving a lone island in their wake. Those who could not make it to the island sank to the bottom of the ocean, where, over time, they slowly turned to crystal. As countless millennia passed, 28 of these crystallized lifeforms, known as the Lustrous, rose from the depths and resided on the island. Led by the wise Kongou-sensei, they must defend themselves against the seemingly infinite number of Lunarians, inhabitants of the moons who seek to harvest their valuable bodies for crafting weapons and jewelry.Houseki no Kuni centers around Phosphophyllite, a young gem about to turn three hundred years old. Clumsy, extremely fragile, and having no visible talent, they are one of the weakest gems around, unable to help in the fight against the Lunarians in any meaningful way. But as the battle with the otherworldly invaders rages on, they soon learn that power comes at a cost that no one should have to pay.[Written by MAL Rewrite]"," Oct 25, 2012 to ?",https://cdn.myanimelist.net/images/manga/1/115443.jpg
20,"Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen
Welcome to the Classroom of the Second-year",8.87," Drama, School, Psychological", , , Publishing," Tomose, Shunsaku (Art), Kinugasa, Shougo (Story)", Light Novel,"As Kiyotaka Ayanokouji and his classmates begin their second-year life, changes are seen everywhere throughout Koudo Ikusei High School. With the third-years having graduated and incoming first-years entering the school, alliances are well underway. Additionally, now that Nagumo Miyabi is the student council president, the promise of turning the school into a meritocracy may become a reality.Meanwhile, conflicts between classes continue to build as the class point totals draw close. With another special exam looming ahead, will Ayanokouji remain in the shadows, or will he finally enter the spotlight and help his class rise to the illustrious Class A?[Written by MAL Rewrite]"," Jan 24, 2020 to ?",https://cdn.myanimelist.net/images/manga/3/235363.jpg
21,"Yotsuba to!
Yotsuba&!",8.86," Comedy, Slice of Life", , , Publishing," Azuma, Kiyohiko (Story & Art)", Manga,"Yotsuba's daily life is full of adventure. She is energetic, curious, and a bit odd—odd enough to be called strange by her father as well as ignorant of many things that even a five-year-old should know. Because of this, the most ordinary experience can become an adventure for her. As the days progress, she makes new friends and shows those around her that every day can be enjoyable.[Written by MAL Rewrite]"," Mar 21, 2003 to ?",https://cdn.myanimelist.net/images/manga/3/57369.jpg
22,"Ookami to Koushinryou
Spice & Wolf",8.86," Adventure, Drama, Fantasy, Historical, Romance, Supernatural", , , Publishing," Hasekura, Isuna (Story), Ayakura, Juu (Art)", Light Novel,"A young traveling merchant, Kraft Lawrence has become accustomed to days of roaming and trading, with few companions. Or so it was until one peculiar day where the trader finds a young, naked, wolf-like girl asleep in his wagon.The beautiful girl, calling herself Holo, claims to be a local wolf deity worshipped by locals as the God of Good Harvest. Year after year, she ensured they would reap a good harvest, but she has since grown tired of fulfilling the wishes of the ungrateful locals.Holo ends up striking a deal with Kraft: if he helps her escape the villagers, she will gladly help him in his merchant endeavors. Together, they roam from town to town in search of business, and Kraft realizes both the ups and downs of traveling with a haughty and shrewd wolf goddess.[Written by MAL Rewrite]"," Feb 10, 2006 to ?",https://cdn.myanimelist.net/images/manga/2/153860.jpg
23,"Koe no Katachi
A Silent Voice",8.86," Drama, School, Shounen", 7, 64, Finished," Ooima, Yoshitoki (Story & Art)", Manga,"Shouya Ishida, a boy always looking for ways to beat boredom, ends up looking for it in the wrong place. Weirded out by his new classmate, a deaf transfer student named Shouko Nishimiya, he deems her as the target of his ostracizing and bullying. Day after day, Shouya picks on Shouko, unaware of the effects of his thoughtless actions. He finally understands the pain he has inflicted on her when one day, his bullying culminates in her leaving the school, and his classmates begin to shun and harass him every chance they get instead. Determined to right his wrongs, five years later, Shouya, now a third year high school loner, meets Shouko again. Thus begins the story of a young man's path to redemption.[Written by MAL Rewrite]"," Aug 7, 2013 to Nov 19, 2014",https://cdn.myanimelist.net/images/manga/1/120529.jpg
24,Solo Leveling,8.85," Action, Adventure, Fantasy", , , Publishing," Chugong (Story), Jang, Sung-rak (Art)", Manhwa,"Ten years ago, ""the Gate"" appeared and connected the real world with the realm of magic and monsters. To combat these vile beasts, ordinary people received superhuman powers and became known as ""Hunters."" Twenty-year-old Sung Jin-Woo is one such Hunter, but he is known as the ""World's Weakest,"" owing to his pathetic power compared to even a measly E-Rank. Still, he hunts monsters tirelessly in low-rank Gates to pay for his mother's medical bills.However, this miserable lifestyle changes when Jin-Woo—believing himself to be the only one left to die in a mission gone terribly wrong—awakens in a hospital three days later to find a mysterious screen floating in front of him. This ""Quest Log"" demands that Jin-Woo completes an unrealistic and intense training program, or face an appropriate penalty. Initially reluctant to comply because of the quest's rigor, Jin-Woo soon finds that it may just transform him into one of the world's most fearsome Hunters.[Written by MAL Rewrite]"," Mar 4, 2018 to ?",https://cdn.myanimelist.net/images/manga/3/222295.jpg
25,"Yahari Ore no Seishun Love Comedy wa Machigatteiru.
My Youth Romantic Comedy Is Wrong, As I Expected",8.84," Comedy, Romance, School", 18, 168, Finished," Watari, Wataru (Story), Ponkan⑧ (Art)", Light Novel,"Hachiman Hikigaya, a student in Soubu High School, is a cynical loner due to his traumatic past experiences in his social life. This eventually led to him developing a set of ""dead fish eyes"" and a twisted personality similar to that of a petty criminal. Believing that the concept of youth is a lie made up by youngsters who face their failures in denial, he turns in an essay that criticizes this exact mentality of youths. Irritated by the submission, his homeroom teacher, Shizuka Hiratsuka forces him to join the Volunteer Service Club—a club that assists students to solve their problems in life, hoping that helping other people would change his personality.However, Yukino Yukinoshita, the most beautiful girl in school, is surprisingly the sole member of the club and a loner, albeit colder and smarter than Hikigaya. Their club soon expands when Yui Yuigahama joins them after being helped with her plight, and they begin to accept more requests.With his status quo as a recluse, Hikigaya attempts to solve problems in his own way, but his methods may prove to be a double-edged sword.[Written by MAL Rewrite]"," Mar 18, 2011 to Apr 20, 2021",https://cdn.myanimelist.net/images/manga/1/122461.jpg
26,"Kaze no Tani no Nausicaä
Nausicaä of the Valley of the Wind",8.84," Action, Adventure, Fantasy, Supernatural", 7, 59, Finished," Miyazaki, Hayao (Story & Art)", Manga,"Humanity, once a technologically advanced and thriving civilization, has been pushed to the brink of extinction following a cataclysmic war known as the ""Seven Days of Fire."" The remnants of the human race now live in scattered kingdoms to avoid the unrelenting spread of the ""Sea of Corruption,"" a colossal forest infested with dangerous mutant insects and fungi that produce poisonous spores.Nausicaä, sole heir to the throne of the agricultural kingdom Valley of the Wind, is thrust into a war after an ally kingdom, the imperialist Torumekia, invades the Dorok Empire. Forced to fight alongside the Torumekian military and their cunning princess Kushana, Nausicaä witnesses firsthand the horrors of war and its effect on both humanity and the environment. With her uncanny charisma and gentle nature, Nausicaä may be the only for hope for humanity as the ongoing war and the Sea of Corruption hasten the extinction of mankind.Set against the backdrop of a devastated world, Kaze no Tani no Nausicaä depicts the aftermath of human folly and the immortal power of nature.[Written by MAL Rewrite]"," Oct 9, 1982 to Feb 10, 1994",https://cdn.myanimelist.net/images/manga/3/156624.jpg
27,"Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
Classroom of the Elite",8.83," Drama, School, Psychological", 14, 110, Finished," Tomose, Shunsaku (Art), Kinugasa, Shougo (Story)", Light Novel,"Receiving funding from the government to nurture the next generation's hopefuls, Koudo Ikusei High School brings together the brightest youth of Japan onto a single campus. At this seemingly perfect institution, the reserved Kiyotaka Ayanokouji arrives as an incoming member of class 1-D, where he befriends one of his classmates, the antisocial Suzune Horikita.At first, his peers revel in the academy's leisurely lifestyle, taking advantage of all of its state-of-the-art facilities. Soon enough, however, the facade of Koudo Ikusei High School gives way to its true nature—only the top scoring classes can fully utilize the school's offerings, and Class D is the furthest from such a status. Standing at the bottom of the hierarchy, Class D houses all of the school's ""worst"" students.Following this rude awakening, Ayanokouji, Horikita, and the rest of Class D must overcome their differences and clash against other classes in order to climb to the coveted position of Class A by any means necessary.[Written by MAL Rewrite]"," May 25, 2015 to Sep 25, 2019",https://cdn.myanimelist.net/images/manga/2/177958.jpg
28,"Akatsuki no Yona
Yona of the Dawn",8.83," Action, Comedy, Fantasy, Romance, Shoujo", , , Publishing," Kusanagi, Mizuho (Story & Art)", Manga,"Once upon a time, the kingdom of Kouka was ruled by a red dragon in human form. By his side, four warriors imbued with dragon blood helped him lead the kingdom to prosperity. Time passed, and this tale became a legend to tell children.As the sole princess of Kouka, Yona lives a life of lavish ease. In love with her cousin, Su-won, and protected by her bodyguard, Son Hak, she wants for nothing and remains sheltered from the harrowing reality outside the castle walls. Contrary to this peaceful illusion, Kouka is about to undergo a political upheaval. After her beloved Su-won stages a bloody coup and murders her father, Yona is forced to flee with only Hak by her side.Though surrounded by enemies on all sides, the banished princess still yearns to save her kingdom. Her solution comes from an exiled priest, who tells her that her only hope is to find the four legendary dragon warriors. Guided by this seemingly fictitious myth, Yona sets out to find these warriors, determined to restore her kingdom.[Written by MAL Rewrite]"," Aug 5, 2009 to ?",https://cdn.myanimelist.net/images/manga/3/153249.jpg
29,Monogatari Series: Final Season,8.82," Comedy, Mystery, Vampire, Supernatural", 6, 231, Finished," NISIO, ISIN (Story), VOFAN (Art)", Light Novel,"This is a story. The end to the saga of Koyomi Araragi.This half-human, half-vampire has stood on the line between reality and the supernatural for far too long. The end to his indecision has finally come. Piece by piece, his humanity was falling away, starting with his reflection. He was becoming one of them—a vampire.Now, Araragi must choose which world to live in and which to give up. To remain human, he must abandon the friends he made through encounters with the supernatural. On the other hand, he would have to sacrifice his humanity to stay with those he holds dear.Koyomi Araragi must decide, and his decision will haunt him until the very end. Either way, tragedy seems inevitable, a culmination of every choice made since the very beginning.[Written by MAL Rewrite]This entry includes the final season of the Monogatari Series."," Sep 28, 2012 to Sep 18, 2014",https://cdn.myanimelist.net/images/manga/1/181554.jpg
